kinopoiskId,nameRu,nameEn,nameOriginal,countries,genres,ratingKinopoisk,ratingImbd,year,type,posterUrl,posterUrlPreview,userRating
409600,tt1211837,Доктор Стрэндж,,Doctor Strange,[{'country': 'США'}],"[{'genre': 'фантастика'}, {'genre': 'приключения'}, {'genre': 'боевик'}, {'genre': 'фэнтези'}]",7.5,7.5,2016,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/409600.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/409600.jpg,6
1219909,tt9419884,Доктор Стрэндж: В мультивселенной безумия,,Doctor Strange in the Multiverse of Madness,[{'country': 'США'}],"[{'genre': 'фантастика'}, {'genre': 'приключения'}, {'genre': 'боевик'}, {'genre': 'фэнтези'}, {'genre': 'ужасы'}]",6.5,6.9,2022,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/1219909.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1219909.jpg,5
5080630,tt21807222,Пила 10,,Saw X,"[{'country': 'США'}, {'country': 'Канада'}, {'country': 'Мексика'}]","[{'genre': 'триллер'}, {'genre': 'ужасы'}]",6.6,6.7,2023,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/5080630.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/5080630.jpg,5
824402,,Защитник,,The Whole Truth,[{'country': 'США'}],"[{'genre': 'триллер'}, {'genre': 'драма'}, {'genre': 'криминал'}, {'genre': 'детектив'}]",6.6,6.2,2015,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/824402.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/824402.jpg,6
1290226,,Учитель,,A Teacher,[{'country': 'США'}],[{'genre': 'драма'}],6.8,6.9,2020,MINI_SERIES,https://kinopoiskapiunofficial.tech/images/posters/kp/1290226.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1290226.jpg,6
4961757,tt21364552,Криминальный город: Разборки в Пусане,,Beomjoe dosi 3,[{'country': 'Корея Южная'}],"[{'genre': 'триллер'}, {'genre': 'криминал'}, {'genre': 'детектив'}, {'genre': 'боевик'}]",7.6,6.6,2023,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/4961757.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/4961757.jpg,6
771381,tt2980648,Пряности и страсти,,The Hundred-Foot Journey,"[{'country': 'США'}, {'country': 'Индия'}, {'country': 'ОАЭ'}]","[{'genre': 'драма'}, {'genre': 'мелодрама'}, {'genre': 'комедия'}]",7.5,7.3,2014,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/771381.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/771381.jpg,5
64451,tt0383534,Ноэль,,Noel,"[{'country': 'США'}, {'country': 'Канада'}]",[{'genre': 'драма'}],7.0,6.1,2004,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/64451.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/64451.jpg,6
577558,tt1806954,Потерянное Рождество,,Lost Christmas,[{'country': 'Великобритания'}],"[{'genre': 'драма'}, {'genre': 'семейный'}]",7.3,7.0,2011,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/577558.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/577558.jpg,6
1169291,tt15838850,Криминальный город 2,,Beomjoе dosi 2,[{'country': 'Корея Южная'}],"[{'genre': 'триллер'}, {'genre': 'криминал'}, {'genre': 'детектив'}, {'genre': 'боевик'}]",7.5,7.0,2022,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/1169291.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1169291.jpg,6
5198,tt0087800,Кошмар на улице Вязов,,A Nightmare on Elm Street,[{'country': 'США'}],[{'genre': 'ужасы'}],7.7,7.4,1984,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/5198.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/5198.jpg,7
1045942,tt7468056,Криминальный город,,Beomjoe dosi,[{'country': 'Корея Южная'}],"[{'genre': 'триллер'}, {'genre': 'криминал'}, {'genre': 'детектив'}, {'genre': 'боевик'}]",7.3,7.2,2017,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/1045942.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1045942.jpg,6
10911,tt0111732,С почестями,,With Honors,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'комедия'}]",7.1,6.7,1994,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/10911.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/10911.jpg,6
576451,tt1800741,Шаг вперед 4,,Step Up Revolution,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'мелодрама'}, {'genre': 'музыка'}]",7.1,6.4,2012,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/576451.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/576451.jpg,6
409185,tt1193631,Шаг вперед 3D,,Step Up 3D,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'мелодрама'}, {'genre': 'музыка'}]",7.2,6.2,2010,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/409185.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/409185.jpg,7
310960,tt1023481,Шаг вперед 2: Улицы,,Step Up 2: The Streets,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'мелодрама'}, {'genre': 'музыка'}]",7.3,6.2,2008,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/310960.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/310960.jpg,7
167491,tt0462590,Шаг вперед,,Step Up,[{'country': 'США'}],"[{'genre': 'драма'}, {'genre': 'криминал'}, {'genre': 'мелодрама'}, {'genre': 'музыка'}]",7.6,6.5,2006,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/167491.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/167491.jpg,7
658,tt0120917,Похождения императора,,The Emperor's New Groove,"[{'country': 'США'}, {'country': 'Япония'}]","[{'genre': 'приключения'}, {'genre': 'фэнтези'}, {'genre': 'комедия'}, {'genre': 'мультфильм'}, {'genre': 'семейный'}]",7.9,7.4,2000,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/658.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/658.jpg,7
4275,tt0106519,Путь Карлито,,Carlito's Way,[{'country': 'США'}],"[{'genre': 'триллер'}, {'genre': 'драма'}, {'genre': 'криминал'}]",8.0,7.9,1993,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/4275.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/4275.jpg,7
1727,tt0103874,Дракула,,Dracula,"[{'country': 'США'}, {'country': 'Великобритания'}]","[{'genre': 'мелодрама'}, {'genre': 'фэнтези'}, {'genre': 'ужасы'}]",7.8,7.4,1992,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/1727.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1727.jpg,7
466581,tt1446192,Хранители снов,,Rise of the Guardians,"[{'country': 'США'}, {'country': 'Индия'}]","[{'genre': 'драма'}, {'genre': 'приключения'}, {'genre': 'боевик'}, {'genre': 'фэнтези'}, {'genre': 'комедия'}, {'genre': 'мультфильм'}, {'genre': 'семейный'}]",8.0,7.2,2012,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/466581.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/466581.jpg,6
572461,tt1767354,Странный Томас,,Odd Thomas,"[{'country': 'США'}, {'country': 'Великобритания'}]","[{'genre': 'триллер'}, {'genre': 'детектив'}, {'genre': 'боевик'}, {'genre': 'фэнтези'}, {'genre': 'ужасы'}]",6.6,6.8,2013,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/572461.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/572461.jpg,6
976520,tt5304992,Подстава,,Set It Up,[{'country': 'США'}],"[{'genre': 'мелодрама'}, {'genre': 'комедия'}]",6.5,6.5,2018,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/976520.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/976520.jpg,6
1161055,tt7374948,"Возможно, это навсегда",,Always Be My Maybe,[{'country': 'США'}],"[{'genre': 'мелодрама'}, {'genre': 'комедия'}]",6.3,6.8,2019,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/1161055.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/1161055.jpg,6
412,tt0093779,Принцесса-невеста,,The Princess Bride,[{'country': 'США'}],"[{'genre': 'мелодрама'}, {'genre': 'приключения'}, {'genre': 'фэнтези'}, {'genre': 'семейный'}]",7.2,8.0,1987,FILM,https://kinopoiskapiunofficial.tech/images/posters/kp/412.jpg,https://kinopoiskapiunofficial.tech/images/posters/kp_small/412.jpg,6
